algorithm,problem,dimension,run_id,best_fitness,fe,iterations,wall_time
RCOA,F1_Sphere_D10,10,0,1.0681261944578203e-10,100022,3376,1.2791
RCOA,F1_Sphere_D10,10,1,6.531439001114464e-10,100027,3190,1.2325
RCOA,F1_Sphere_D10,10,2,6.531439001114464e-10,100027,3190,1.6022
RCOA,F1_Sphere_D10,10,3,6.531439001114464e-10,100030,3190,1.3834
RCOA,F1_Sphere_D10,10,4,1.4706259457244028e-10,100003,3344,1.2723
RCOA,F1_Sphere_D10,10,5,7.775581847644674e-11,100019,3409,1.2585
RCOA,F1_Sphere_D10,10,6,6.531439001114464e-10,100027,3190,1.3796
RCOA,F1_Sphere_D10,10,7,1.4706259457244028e-10,100003,3344,1.3431
RCOA,F1_Sphere_D10,10,8,6.531439001114464e-10,100027,3190,1.3444
RCOA,F1_Sphere_D10,10,9,6.531439001114464e-10,100027,3190,1.3169
RCOA,F1_Sphere_D10,10,10,1.5003345605061505e-10,100011,3342,1.4739
RCOA,F1_Sphere_D10,10,11,1.4706259457244028e-10,100003,3344,1.3049
RCOA,F1_Sphere_D10,10,12,1.0788610411790978e-10,100018,3375,1.3659
RCOA,F1_Sphere_D10,10,13,6.531439001114464e-10,100027,3190,1.4033
RCOA,F1_Sphere_D10,10,14,1.5003345605061505e-10,100011,3342,1.2813
PSO,F1_Sphere_D10,10,0,78.59103988206587,100000,1999,1.1423
PSO,F1_Sphere_D10,10,1,98.94697760173752,100000,1999,1.0920
PSO,F1_Sphere_D10,10,2,23.397471803628143,100000,1999,1.2340
PSO,F1_Sphere_D10,10,3,1.632064081284317,100000,1999,1.1778
PSO,F1_Sphere_D10,10,4,9.564387123226355,100000,1999,1.1283
PSO,F1_Sphere_D10,10,5,0.9892043026439412,100000,1999,1.1706
PSO,F1_Sphere_D10,10,6,17.60296146103554,100000,1999,1.1199
PSO,F1_Sphere_D10,10,7,10.521563125273836,100000,1999,1.1220
PSO,F1_Sphere_D10,10,8,32.19636978378074,100000,1999,1.1121
PSO,F1_Sphere_D10,10,9,5.287530632735975,100000,1999,1.1151
PSO,F1_Sphere_D10,10,10,47.45789913629443,100000,1999,1.3030
PSO,F1_Sphere_D10,10,11,0.08955729879035458,100000,1999,1.2082
PSO,F1_Sphere_D10,10,12,2.590004023656151,100000,1999,1.1459
PSO,F1_Sphere_D10,10,13,0.36531657300440495,100000,1999,1.1628
PSO,F1_Sphere_D10,10,14,5.9739614754864725,100000,1999,1.2177
DE,F1_Sphere_D10,10,0,14662.132175784946,100000,1999,1.6669
DE,F1_Sphere_D10,10,1,7808.490296645088,100000,1999,1.9907
DE,F1_Sphere_D10,10,2,7349.397997004754,100000,1999,1.5786
DE,F1_Sphere_D10,10,3,9945.72707748862,100000,1999,1.7038
DE,F1_Sphere_D10,10,4,19167.694761908653,100000,1999,1.7167
DE,F1_Sphere_D10,10,5,5129.345642882639,100000,1999,1.5767
DE,F1_Sphere_D10,10,6,8480.115650865766,100000,1999,1.5973
DE,F1_Sphere_D10,10,7,4566.7274832596795,100000,1999,1.5291
DE,F1_Sphere_D10,10,8,12517.967096208224,100000,1999,1.6439
DE,F1_Sphere_D10,10,9,14794.769788385907,100000,1999,1.6370
DE,F1_Sphere_D10,10,10,13190.166105584914,100000,1999,1.5297
DE,F1_Sphere_D10,10,11,6704.214829115519,100000,1999,1.6450
DE,F1_Sphere_D10,10,12,11995.620211677347,100000,1999,1.5269
DE,F1_Sphere_D10,10,13,9245.847742892467,100000,1999,1.6042
DE,F1_Sphere_D10,10,14,9191.587328005213,100000,1999,1.5178
GA,F1_Sphere_D10,10,0,6939.547881979788,100034,2083,2.5828
GA,F1_Sphere_D10,10,1,15363.246760946005,100034,2083,2.5668
GA,F1_Sphere_D10,10,2,17594.441489968412,100034,2083,2.3609
GA,F1_Sphere_D10,10,3,23129.76325062108,100034,2083,2.3573
GA,F1_Sphere_D10,10,4,18107.425656232408,100034,2083,2.4674
GA,F1_Sphere_D10,10,5,18033.218102281913,100034,2083,2.3593
GA,F1_Sphere_D10,10,6,9704.32403752417,100034,2083,2.3405
GA,F1_Sphere_D10,10,7,14475.540100221475,100034,2083,2.4353
GA,F1_Sphere_D10,10,8,12517.967096208224,100034,2083,2.4747
GA,F1_Sphere_D10,10,9,8938.438401499501,100034,2083,3.0002
GA,F1_Sphere_D10,10,10,13190.166105584914,100034,2083,2.4537
GA,F1_Sphere_D10,10,11,6704.214829115519,100034,2083,2.4232
GA,F1_Sphere_D10,10,12,12330.325027344443,100034,2083,2.8535
GA,F1_Sphere_D10,10,13,16341.32350180427,100034,2083,2.4100
GA,F1_Sphere_D10,10,14,9191.587328005213,100034,2083,2.3447
RCOA,F3_Zakharov_D10,10,0,9.658351926716621e-09,100019,4400,1.8231
RCOA,F3_Zakharov_D10,10,1,9.658351926716621e-09,100018,4400,1.7477
RCOA,F3_Zakharov_D10,10,2,9.658351926716621e-09,100019,4400,1.8643
RCOA,F3_Zakharov_D10,10,3,9.658351926716621e-09,100019,4400,1.7345
RCOA,F3_Zakharov_D10,10,4,9.658351926716621e-09,100018,4400,1.8476
RCOA,F3_Zakharov_D10,10,5,9.658351926716621e-09,100018,4400,1.7572
RCOA,F3_Zakharov_D10,10,6,9.658351926716621e-09,100019,4400,1.7216
RCOA,F3_Zakharov_D10,10,7,9.658351926716621e-09,100018,4400,1.7834
RCOA,F3_Zakharov_D10,10,8,9.658351926716621e-09,100018,4400,1.8063
RCOA,F3_Zakharov_D10,10,9,9.658351926716621e-09,100018,4400,1.7343
RCOA,F3_Zakharov_D10,10,10,9.658351926716621e-09,100019,4400,1.7163
RCOA,F3_Zakharov_D10,10,11,9.658351926716621e-09,100018,4400,1.7122
RCOA,F3_Zakharov_D10,10,12,9.658351926716621e-09,100018,4400,1.7763
RCOA,F3_Zakharov_D10,10,13,9.658351926716621e-09,100019,4400,1.8967
RCOA,F3_Zakharov_D10,10,14,9.658351926716621e-09,100018,4400,1.7299
PSO,F3_Zakharov_D10,10,0,1183.2052871859112,100000,1999,1.3410
PSO,F3_Zakharov_D10,10,1,11964.900467035617,100000,1999,1.4120
PSO,F3_Zakharov_D10,10,2,12133.16935621886,100000,1999,1.3561
PSO,F3_Zakharov_D10,10,3,4256.833263242253,100000,1999,1.3808
PSO,F3_Zakharov_D10,10,4,14115.071147008264,100000,1999,1.3542
PSO,F3_Zakharov_D10,10,5,10542.14126149721,100000,1999,1.4074
PSO,F3_Zakharov_D10,10,6,3901.0938545492445,100000,1999,1.4483
PSO,F3_Zakharov_D10,10,7,4200.001520452265,100000,1999,1.3552
PSO,F3_Zakharov_D10,10,8,3446.2511099703493,100000,1999,1.3479
PSO,F3_Zakharov_D10,10,9,22752.790158213134,100000,1999,1.3425
PSO,F3_Zakharov_D10,10,10,2755.676566643918,100000,1999,1.3447
PSO,F3_Zakharov_D10,10,11,5936.1097887647265,100000,1999,1.4600
PSO,F3_Zakharov_D10,10,12,6447.215165544698,100000,1999,1.3854
PSO,F3_Zakharov_D10,10,13,8478.611820873442,100000,1999,1.3488
PSO,F3_Zakharov_D10,10,14,12266.919632915067,100000,1999,1.3485
DE,F3_Zakharov_D10,10,0,39174.622723433386,100000,1999,1.7491
DE,F3_Zakharov_D10,10,1,40238.58876275144,100000,1999,1.8382
DE,F3_Zakharov_D10,10,2,42084.61028653177,100000,1999,1.7602
DE,F3_Zakharov_D10,10,3,85574.15888120249,100000,1999,1.9029
DE,F3_Zakharov_D10,10,4,144166.59370689228,100000,1999,1.7645
DE,F3_Zakharov_D10,10,5,63397.90755685847,100000,1999,1.8195
DE,F3_Zakharov_D10,10,6,38464.27084221602,100000,1999,1.7643
DE,F3_Zakharov_D10,10,7,37132.32145482149,100000,1999,1.7737
DE,F3_Zakharov_D10,10,8,67729.40689876181,100000,1999,1.7668
DE,F3_Zakharov_D10,10,9,108046.44605693144,100000,1999,1.8983
DE,F3_Zakharov_D10,10,10,38734.340163365756,100000,1999,1.7786
DE,F3_Zakharov_D10,10,11,69682.3826052215,100000,1999,1.7951
DE,F3_Zakharov_D10,10,12,48186.68026118379,100000,1999,1.8106
DE,F3_Zakharov_D10,10,13,74720.86087715988,100000,1999,1.7467
DE,F3_Zakharov_D10,10,14,57575.64166633956,100000,1999,1.7856
GA,F3_Zakharov_D10,10,0,49617.72484843429,100034,2083,2.6389
GA,F3_Zakharov_D10,10,1,103702.49816781025,100034,2083,2.5785
GA,F3_Zakharov_D10,10,2,77861.946379771,100034,2083,2.7192
GA,F3_Zakharov_D10,10,3,85574.15888120249,100034,2083,2.8500
GA,F3_Zakharov_D10,10,4,180068.7224548145,100034,2083,2.5980
GA,F3_Zakharov_D10,10,5,117733.15262376292,100034,2083,2.7304
GA,F3_Zakharov_D10,10,6,405223.5712727819,100034,2083,2.5658
GA,F3_Zakharov_D10,10,7,4211835.1127787735,100034,2083,2.6625
GA,F3_Zakharov_D10,10,8,78656.4129718935,100034,2083,2.6508
GA,F3_Zakharov_D10,10,9,458699.42427778547,100034,2083,2.5862
GA,F3_Zakharov_D10,10,10,310255.8107592731,100034,2083,2.5470
GA,F3_Zakharov_D10,10,11,69682.3826052215,100034,2083,2.6863
GA,F3_Zakharov_D10,10,12,48186.68026118379,100034,2083,2.5783
GA,F3_Zakharov_D10,10,13,74720.86087715988,100034,2083,2.5735
GA,F3_Zakharov_D10,10,14,57575.64166633956,100034,2083,2.7181
RCOA,F5_Rastrigin_D10,10,0,3.0381051654035263e-06,100008,2394,1.2545
RCOA,F5_Rastrigin_D10,10,1,3.0381051654035263e-06,100024,2394,1.2426
RCOA,F5_Rastrigin_D10,10,2,3.0381051654035263e-06,100019,2394,1.2272
RCOA,F5_Rastrigin_D10,10,3,3.0381051654035263e-06,100022,2394,1.2994
RCOA,F5_Rastrigin_D10,10,4,5.210852661058831e-07,100017,2575,1.2706
RCOA,F5_Rastrigin_D10,10,5,3.0381051654035263e-06,100003,2394,1.2221
RCOA,F5_Rastrigin_D10,10,6,5.107670865166841e-07,100016,2577,1.2647
RCOA,F5_Rastrigin_D10,10,7,3.0381051654035263e-06,100012,2394,1.2834
RCOA,F5_Rastrigin_D10,10,8,1.6885977180049007e-05,100033,2218,1.2842
RCOA,F5_Rastrigin_D10,10,9,1.6885977180049007e-05,100033,2218,1.2294
RCOA,F5_Rastrigin_D10,10,10,5.107670865166841e-07,100004,2577,1.3432
RCOA,F5_Rastrigin_D10,10,11,5.210852661058831e-07,100023,2575,1.3203
RCOA,F5_Rastrigin_D10,10,12,3.0381051654035263e-06,100019,2394,1.2146
RCOA,F5_Rastrigin_D10,10,13,1.6885977180049007e-05,100003,2218,1.3314
RCOA,F5_Rastrigin_D10,10,14,3.0381051654035263e-06,100009,2394,1.2189
PSO,F5_Rastrigin_D10,10,0,148.66900862976667,100000,1999,1.2598
PSO,F5_Rastrigin_D10,10,1,1407.0599661170947,100000,1999,1.2298
PSO,F5_Rastrigin_D10,10,2,48.38772104027072,100000,1999,1.2312
PSO,F5_Rastrigin_D10,10,3,114.98941297642449,100000,1999,1.2514
PSO,F5_Rastrigin_D10,10,4,1446.7483967628907,100000,1999,1.2911
PSO,F5_Rastrigin_D10,10,5,97.95897823789821,100000,1999,1.2371
PSO,F5_Rastrigin_D10,10,6,39.87306615076503,100000,1999,1.2319
PSO,F5_Rastrigin_D10,10,7,102.71417220534953,100000,1999,1.2278
PSO,F5_Rastrigin_D10,10,8,150.98618337940388,100000,1999,1.3780
PSO,F5_Rastrigin_D10,10,9,76.27097185416196,100000,1999,1.2946
PSO,F5_Rastrigin_D10,10,10,61.08552337431847,100000,1999,1.2656
PSO,F5_Rastrigin_D10,10,11,113.56779815706034,100000,1999,1.2208
PSO,F5_Rastrigin_D10,10,12,75.08090833280465,100000,1999,1.2383
PSO,F5_Rastrigin_D10,10,13,309.68893658371417,100000,1999,1.5897
PSO,F5_Rastrigin_D10,10,14,122.50001435449212,100000,1999,1.2701
DE,F5_Rastrigin_D10,10,0,26975.675582143296,100000,1999,1.7651
DE,F5_Rastrigin_D10,10,1,19882.206476320654,100000,1999,1.6483
DE,F5_Rastrigin_D10,10,2,21566.014831935026,100000,1999,1.6622
DE,F5_Rastrigin_D10,10,3,24749.18661490041,100000,1999,1.6411
DE,F5_Rastrigin_D10,10,4,19100.659533248432,100000,1999,1.7236
DE,F5_Rastrigin_D10,10,5,25256.889756392273,100000,1999,1.6351
DE,F5_Rastrigin_D10,10,6,11290.66319145105,100000,1999,1.7009
DE,F5_Rastrigin_D10,10,7,17036.97930735494,100000,1999,1.6439
DE,F5_Rastrigin_D10,10,8,5963.21398819354,100000,1999,1.7577
DE,F5_Rastrigin_D10,10,9,17067.82662785421,100000,1999,1.6279
DE,F5_Rastrigin_D10,10,10,13571.710753236857,100000,1999,1.6449
DE,F5_Rastrigin_D10,10,11,17359.89697887069,100000,1999,1.6952
DE,F5_Rastrigin_D10,10,12,4738.845348447394,100000,1999,1.8002
DE,F5_Rastrigin_D10,10,13,6541.247753303136,100000,1999,1.6462
DE,F5_Rastrigin_D10,10,14,20597.860561230893,100000,1999,1.6432
GA,F5_Rastrigin_D10,10,0,29364.136077088187,100034,2083,1.3538
GA,F5_Rastrigin_D10,10,1,26768.36222312526,100034,2083,1.3298
GA,F5_Rastrigin_D10,10,2,21566.014831935026,100034,2083,1.3998
GA,F5_Rastrigin_D10,10,3,29613.24455296057,100034,2083,1.3281
GA,F5_Rastrigin_D10,10,4,19100.659533248432,100034,2083,1.4085
GA,F5_Rastrigin_D10,10,5,28804.225865600125,100034,2083,1.3495
GA,F5_Rastrigin_D10,10,6,11290.66319145105,100034,2083,1.3580
GA,F5_Rastrigin_D10,10,7,17036.97930735494,100034,2083,1.4137
GA,F5_Rastrigin_D10,10,8,8657.413769557064,100034,2083,1.3453
GA,F5_Rastrigin_D10,10,9,17067.82662785421,100034,2083,1.3298
GA,F5_Rastrigin_D10,10,10,13571.710753236857,100034,2083,1.3375
GA,F5_Rastrigin_D10,10,11,17359.89697887069,100034,2083,1.3336
GA,F5_Rastrigin_D10,10,12,4738.845348447394,100034,2083,1.5068
GA,F5_Rastrigin_D10,10,13,6541.247753303136,100034,2083,1.3336
GA,F5_Rastrigin_D10,10,14,20597.860561230893,100034,2083,1.3519
RCOA,F9_Levy_D10,10,0,1.6713110420103196e-14,100022,4134,1.9335
RCOA,F9_Levy_D10,10,1,1.2982886378694197e-15,100016,4394,2.0925
RCOA,F9_Levy_D10,10,2,3.300180916840645e-13,100017,3826,2.1088
RCOA,F9_Levy_D10,10,3,1.3013836919177477e-15,100007,4395,2.0514
RCOA,F9_Levy_D10,10,4,1.2636172016302536e-15,100008,4395,2.0478
RCOA,F9_Levy_D10,10,5,9.924997566800222e-14,100007,3950,2.0040
RCOA,F9_Levy_D10,10,6,2.3840775232449413e-14,100017,4095,2.1337
RCOA,F9_Levy_D10,10,7,1.2151896188542107e-15,100022,4396,2.0479
RCOA,F9_Levy_D10,10,8,1.2473820122363936e-15,100002,4394,2.0710
RCOA,F9_Levy_D10,10,9,1.6543451020315833e-14,100001,4133,1.9271
RCOA,F9_Levy_D10,10,10,6.256054229024902e-14,100022,3996,1.9115
RCOA,F9_Levy_D10,10,11,9.406428232278511e-14,100017,3956,2.0105
RCOA,F9_Levy_D10,10,12,1.19485097157096e-15,100010,4396,2.0246
RCOA,F9_Levy_D10,10,13,8.954444229338271e-14,100009,3960,1.9198
RCOA,F9_Levy_D10,10,14,1.1909636631070546e-15,100017,4396,2.0602
PSO,F9_Levy_D10,10,0,140.65602843928298,100000,1999,1.6257
PSO,F9_Levy_D10,10,1,11.263765808277295,100000,1999,1.6088
PSO,F9_Levy_D10,10,2,53.67174057149452,100000,1999,1.6270
PSO,F9_Levy_D10,10,3,126.82304890899113,100000,1999,1.6793
PSO,F9_Levy_D10,10,4,5.558896878239586,100000,1999,1.7049
PSO,F9_Levy_D10,10,5,7.28193430926481,100000,1999,1.6201
PSO,F9_Levy_D10,10,6,38.207871241738914,100000,1999,1.6017
PSO,F9_Levy_D10,10,7,35.19270990323254,100000,1999,1.6005
PSO,F9_Levy_D10,10,8,15.13595904050615,100000,1999,1.6790
PSO,F9_Levy_D10,10,9,4.887851801158749,100000,1999,1.7134
PSO,F9_Levy_D10,10,10,243.42049322941978,100000,1999,1.6668
PSO,F9_Levy_D10,10,11,20.662133547200852,100000,1999,1.6548
PSO,F9_Levy_D10,10,12,50.83869202263689,100000,1999,1.6908
PSO,F9_Levy_D10,10,13,187.75863812956632,100000,1999,1.6099
PSO,F9_Levy_D10,10,14,23.07496730331763,100000,1999,1.6103
DE,F9_Levy_D10,10,0,1566.6723082154665,100000,1999,2.2263
DE,F9_Levy_D10,10,1,3808.9118699428536,100000,1999,2.0883
DE,F9_Levy_D10,10,2,3777.3960214789,100000,1999,2.1948
DE,F9_Levy_D10,10,3,1430.3670602375437,100000,1999,2.0460
DE,F9_Levy_D10,10,4,4883.762778575774,100000,1999,2.0343
DE,F9_Levy_D10,10,5,3185.242225980625,100000,1999,2.3178
DE,F9_Levy_D10,10,6,2334.817485739711,100000,1999,2.0690
DE,F9_Levy_D10,10,7,3896.2474072336136,100000,1999,2.1825
DE,F9_Levy_D10,10,8,3320.2558314915877,100000,1999,2.1612
DE,F9_Levy_D10,10,9,3271.6923391641612,100000,1999,2.1420
DE,F9_Levy_D10,10,10,3499.4526948545426,100000,1999,2.0698
DE,F9_Levy_D10,10,11,2262.592766019605,100000,1999,2.1936
DE,F9_Levy_D10,10,12,3830.5122233972456,100000,1999,2.0585
DE,F9_Levy_D10,10,13,2349.02723679721,100000,1999,2.0466
DE,F9_Levy_D10,10,14,1358.4460725144745,100000,1999,2.2046
GA,F9_Levy_D10,10,0,3755.3305162333977,100034,2083,2.9023
GA,F9_Levy_D10,10,1,4329.020044883447,100034,2083,2.8704
GA,F9_Levy_D10,10,2,3777.3960214789,100034,2083,3.0941
GA,F9_Levy_D10,10,3,1430.3670602375437,100034,2083,2.9570
GA,F9_Levy_D10,10,4,4883.762778575774,100034,2083,2.9628
GA,F9_Levy_D10,10,5,3474.763011321455,100034,2083,2.8803
GA,F9_Levy_D10,10,6,2334.817485739711,100034,2083,2.9651
GA,F9_Levy_D10,10,7,3896.2474072336136,100034,2083,3.0246
GA,F9_Levy_D10,10,8,3320.2558314915877,100034,2083,2.8792
GA,F9_Levy_D10,10,9,3271.6923391641612,100034,2083,2.9670
GA,F9_Levy_D10,10,10,3499.4526948545426,100034,2083,2.8851
GA,F9_Levy_D10,10,11,4969.098919851838,100034,2083,3.2261
GA,F9_Levy_D10,10,12,3830.5122233972456,100034,2083,2.8924
GA,F9_Levy_D10,10,13,2349.02723679721,100034,2083,3.0854
GA,F9_Levy_D10,10,14,2682.4353641731227,100034,2083,3.0535
RCOA,F12_Ackley_D10,10,0,1.485421674064831e-17,100003,4414,1.7170
RCOA,F12_Ackley_D10,10,1,1.485421607568883e-17,100004,4414,1.7085
RCOA,F12_Ackley_D10,10,2,1.485421674064831e-17,100003,4414,1.8412
RCOA,F12_Ackley_D10,10,3,1.485421607568883e-17,100003,4414,1.7096
RCOA,F12_Ackley_D10,10,4,1.485421674064831e-17,100002,4414,1.7037
RCOA,F12_Ackley_D10,10,5,1.485421607568883e-17,100003,4414,1.7176
RCOA,F12_Ackley_D10,10,6,1.4706414814552968e-17,100018,4415,1.8114
RCOA,F12_Ackley_D10,10,7,1.485421674064831e-17,100006,4414,1.7145
RCOA,F12_Ackley_D10,10,8,1.485421674064831e-17,100007,4414,1.8114
RCOA,F12_Ackley_D10,10,9,1.4706414814552968e-17,100014,4415,1.7481
RCOA,F12_Ackley_D10,10,10,1.485421674064831e-17,100003,4414,1.8427
RCOA,F12_Ackley_D10,10,11,1.485421607568883e-17,100017,4414,1.7241
RCOA,F12_Ackley_D10,10,12,1.485421674064831e-17,100003,4414,1.7320
RCOA,F12_Ackley_D10,10,13,1.485421674064831e-17,100017,4414,1.8177
RCOA,F12_Ackley_D10,10,14,1.485421607568883e-17,100005,4414,1.7848
PSO,F12_Ackley_D10,10,0,20.49892991458945,100000,1999,1.4005
PSO,F12_Ackley_D10,10,1,20.410966901118723,100000,1999,1.3365
PSO,F12_Ackley_D10,10,2,20.297728331739403,100000,1999,1.3510
PSO,F12_Ackley_D10,10,3,20.449262898513556,100000,1999,1.3350
PSO,F12_Ackley_D10,10,4,20.295217552609518,100000,1999,2.3612
PSO,F12_Ackley_D10,10,5,20.268706044723366,100000,1999,1.4067
PSO,F12_Ackley_D10,10,6,20.428819542214978,100000,1999,1.3541
PSO,F12_Ackley_D10,10,7,20.369688150273657,100000,1999,1.3529
PSO,F12_Ackley_D10,10,8,20.543740745225122,100000,1999,1.4164
PSO,F12_Ackley_D10,10,9,20.480203057047863,100000,1999,1.3239
PSO,F12_Ackley_D10,10,10,20.026410323162253,100000,1999,1.3239
PSO,F12_Ackley_D10,10,11,20.47926957427082,100000,1999,1.3232
PSO,F12_Ackley_D10,10,12,20.354463795446794,100000,1999,1.3996
PSO,F12_Ackley_D10,10,13,20.474415775887756,100000,1999,1.4036
PSO,F12_Ackley_D10,10,14,20.352519240953566,100000,1999,1.3382
DE,F12_Ackley_D10,10,0,21.10367286380821,100000,1999,1.8044
DE,F12_Ackley_D10,10,1,20.991790428640474,100000,1999,1.7683
DE,F12_Ackley_D10,10,2,21.125887555699222,100000,1999,1.9491
DE,F12_Ackley_D10,10,3,21.314296597313085,100000,1999,2.3989
DE,F12_Ackley_D10,10,4,21.279582439437917,100000,1999,1.8370
DE,F12_Ackley_D10,10,5,21.06568266994561,100000,1999,1.8083
DE,F12_Ackley_D10,10,6,20.935942256437258,100000,1999,1.9075
DE,F12_Ackley_D10,10,7,21.15944399450218,100000,1999,1.7897
DE,F12_Ackley_D10,10,8,20.961926512612912,100000,1999,1.9837
DE,F12_Ackley_D10,10,9,21.01932284458984,100000,1999,1.8256
DE,F12_Ackley_D10,10,10,20.908481993135535,100000,1999,1.9855
DE,F12_Ackley_D10,10,11,21.03650715134005,100000,1999,1.8402
DE,F12_Ackley_D10,10,12,21.211157340163055,100000,1999,1.8399
DE,F12_Ackley_D10,10,13,21.206111694360654,100000,1999,2.0309
DE,F12_Ackley_D10,10,14,21.23625383029766,100000,1999,1.8393
GA,F12_Ackley_D10,10,0,21.10367286380821,100034,2083,2.7261
GA,F12_Ackley_D10,10,1,21.049322631839058,100034,2083,2.6952
GA,F12_Ackley_D10,10,2,21.125887555699222,100034,2083,3.0243
GA,F12_Ackley_D10,10,3,21.314296597313085,100034,2083,2.6669
GA,F12_Ackley_D10,10,4,21.279582439437917,100034,2083,2.6498
GA,F12_Ackley_D10,10,5,21.06568266994561,100034,2083,2.5314
GA,F12_Ackley_D10,10,6,20.935942256437258,100034,2083,2.6309
GA,F12_Ackley_D10,10,7,21.15944399450218,100034,2083,2.6618
GA,F12_Ackley_D10,10,8,21.01094877370753,100034,2083,2.5412
GA,F12_Ackley_D10,10,9,21.01932284458984,100034,2083,2.5858
GA,F12_Ackley_D10,10,10,21.099937379886217,100034,2083,2.5988
GA,F12_Ackley_D10,10,11,21.03650715134005,100034,2083,2.5509
GA,F12_Ackley_D10,10,12,21.27790003620585,100034,2083,2.5900
GA,F12_Ackley_D10,10,13,21.206111694360654,100034,2083,2.5531
GA,F12_Ackley_D10,10,14,21.23625383029766,100034,2083,2.7819
RCOA,F14_HappyCat_D10,10,0,1.4045217580749469e-07,100007,2388,1.3500
RCOA,F14_HappyCat_D10,10,1,1.4045217580749469e-07,100007,2388,1.2245
RCOA,F14_HappyCat_D10,10,2,1.4045217580749469e-07,100007,2388,1.1899
RCOA,F14_HappyCat_D10,10,3,1.4045217580749469e-07,100007,2388,1.2175
RCOA,F14_HappyCat_D10,10,4,1.4045217580749469e-07,100007,2388,1.2478
RCOA,F14_HappyCat_D10,10,5,1.4045217580749469e-07,100007,2388,1.1835
RCOA,F14_HappyCat_D10,10,6,1.4045217580749469e-07,100007,2388,1.2815
RCOA,F14_HappyCat_D10,10,7,1.4045217580749469e-07,100007,2388,1.1877
RCOA,F14_HappyCat_D10,10,8,1.4045217580749469e-07,100007,2388,1.2039
RCOA,F14_HappyCat_D10,10,9,1.4045217580749469e-07,100007,2388,1.2910
RCOA,F14_HappyCat_D10,10,10,1.4045217580749469e-07,100007,2388,1.4307
RCOA,F14_HappyCat_D10,10,11,1.4045217580749469e-07,100007,2388,1.1972
